site,lat,lat,long,long,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17128,400,90,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,SI-4345,275,75,Yes,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17129,270,60,Yes,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-13 Boa Vista II,-2.785293,-2.785293,-52.077808,-52.077808,Beta 17124,770,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-13 Boa Vista II,-2.785293,-2.785293,-52.077808,-52.077808,SI-3509,585,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-15 Cacarapi II,-2.65895,-2.65895,-52.064829,-52.064829,Beta 17126,800,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-15 Cacarapi II,-2.65895,-2.65895,-52.064829,-52.064829,SI-3512,520,55,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-BI-04 Cachoeira Grande,-3.911179,-3.911179,-52.822356,-52.822356,SI 4351,600,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
Palmeiras,-3.459886,-3.459886,-52.326868,-52.326868,MAMS-43998,477,21,No,Pará,5-LA/Xingu-Iriri,Koriabo-Tupiguarani,1 - Koriabo,Settlement,Ferraz et al. 2023
Palmeiras,-3.459886,-3.459886,-52.326868,-52.326868,Beta-552227,810,30,No,Pará,5-LA/Xingu-Iriri,Koriabo-Tupiguarani,1 - Koriabo,Settlement,Scientia 2020
Vila Rica 2,-3.287104,-3.287104,-51.871488,-51.871488,Beta-554251,850,30,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Castro et al. 2020
Santo Antonio 10,-3.12936,-3.12936,-51.766895,-51.766895,OxA-33034,843,27,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Unknown,Müller et al 2016
